[0.223s] Invoking command in '/home/yan/camps_ws/build/realsense_camera_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/yan/camps_ws/install/py_pubsub:/opt/ros/dashing /usr/bin/cmake --build /home/yan/camps_ws/build/realsense_camera_msgs -- -j4 -l4
[0.871s] [  2%] Built target realsense_camera_msgs__cpp
[0.913s] [ 13%] Built target realsense_camera_msgs__rosidl_generator_c
[1.099s] [ 27%] Built target realsense_camera_msgs__rosidl_typesupport_introspection_c
[1.103s] [ 35%] Built target realsense_camera_msgs__rosidl_typesupport_fastrtps_cpp
[1.122s] [ 45%] Built target realsense_camera_msgs__rosidl_typesupport_introspection_cpp
[1.265s] [ 56%] Built target realsense_camera_msgs__rosidl_typesupport_fastrtps_c
[1.313s] [ 67%] Built target realsense_camera_msgs__rosidl_typesupport_cpp
[1.415s] [ 78%] Built target realsense_camera_msgs__rosidl_typesupport_c
[1.515s] [ 78%] Built target realsense_camera_msgs
[1.618s] [ 81%] Built target realsense_camera_msgs__py
[1.810s] [ 89%] Built target realsense_camera_msgs__python
[1.975s] [ 94%] Built target realsense_camera_msgs__rosidl_typesupport_fastrtps_c__pyext
[2.014s] [100%] Built target realsense_camera_msgs__rosidl_typesupport_c__pyext
[2.074s] Invoked command in '/home/yan/camps_ws/build/realsense_camera_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/yan/camps_ws/install/py_pubsub:/opt/ros/dashing /usr/bin/cmake --build /home/yan/camps_ws/build/realsense_camera_msgs -- -j4 -l4
[2.514s] Invoking command in '/home/yan/camps_ws/build/realsense_camera_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/yan/camps_ws/install/py_pubsub:/opt/ros/dashing /usr/bin/cmake --build /home/yan/camps_ws/build/realsense_camera_msgs --target install -- -j4 -l4
[2.759s] [  2%] Built target realsense_camera_msgs__cpp
[2.767s] [ 13%] Built target realsense_camera_msgs__rosidl_generator_c
[2.952s] [ 24%] Built target realsense_camera_msgs__rosidl_typesupport_fastrtps_cpp
[2.966s] [ 35%] Built target realsense_camera_msgs__rosidl_typesupport_introspection_cpp
[2.979s] [ 45%] Built target realsense_camera_msgs__rosidl_typesupport_introspection_c
[3.166s] [ 56%] Built target realsense_camera_msgs__rosidl_typesupport_fastrtps_c
[3.192s] [ 67%] Built target realsense_camera_msgs__rosidl_typesupport_cpp
[3.299s] [ 78%] Built target realsense_camera_msgs__rosidl_typesupport_c
[3.394s] [ 78%] Built target realsense_camera_msgs
[3.492s] [ 81%] Built target realsense_camera_msgs__py
[3.644s] [ 89%] Built target realsense_camera_msgs__python
[3.803s] [ 94%] Built target realsense_camera_msgs__rosidl_typesupport_c__pyext
[3.819s] [100%] Built target realsense_camera_msgs__rosidl_typesupport_fastrtps_c__pyext
[3.909s] [36mInstall the project...[0m
[3.948s] -- Install configuration: ""
[3.951s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/share/ament_index/resource_index/rosidl_interfaces/realsense_camera_msgs
[3.952s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/lib/librealsense_camera_msgs__rosidl_typesupport_c.so
[3.955s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/share/realsense_camera_msgs/environment/library_path.sh
[3.958s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/lib/librealsense_camera_msgs__rosidl_typesupport_cpp.so
[3.963s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs
[3.964s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg
[3.966s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/rosidl_typesupport_fastrtps_c__visibility_control.h
[3.967s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/imu_info__rosidl_typesupport_fastrtps_c.h
[3.968s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/extrinsics__rosidl_typesupport_fastrtps_c.h
[3.970s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/lib/librealsense_camera_msgs__rosidl_typesupport_fastrtps_c.so
[3.971s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs
[3.972s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg
[3.974s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/extrinsics__functions.c
[3.978s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/imu_info__struct.h
[3.979s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/imu_info__functions.c
[3.980s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/extrinsics.h
[3.980s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/imu_info__functions.h
[3.981s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/extrinsics__functions.h
[3.982s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/imu_info__type_support.h
[3.982s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/rosidl_generator_c__visibility_control.h
[3.983s] -- Up-to-date: /home/yan/camps_ws/install/realsense_camera_msgs/include/realsense_camera_msgs/msg/extrinsics__struct.h
